ClusterAlgorithm;DistanceFunction;Synonyms;GermaNetFunction;Word2VecAdd;Word2VecAverage;k;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
Neural Gas;EuclideanDistance;true;true;false;false;12;10.773800000000001;0.0;16.285600000000002;0.0;0.0883;0.0;118.86
ClusterART;Not needed;true;false;false;false;23;2.5674;0.0;3.7245000000000004;0.0;0.19010000000000002;0.0;14259.12
Neural Gas;EuclideanDistance;true;true;false;false;13;10.059700000000001;0.0;10.7323;0.0;0.058600000000000006;0.0;133.44
ClusterART;Not needed;true;false;false;false;24;2.6614;0.0;3.7678000000000003;0.0;0.17420000000000002;0.0;8727.04
Neural Gas;EuclideanDistance;true;true;false;false;14;9.5937;0.0;15.2885;0.0;0.06570000000000001;0.0;141.63
ClusterART;Not needed;true;false;false;false;25;2.6369000000000002;0.0;3.7519;0.0;0.17600000000000002;0.0;9402.95
Neural Gas;EuclideanDistance;true;true;false;false;15;9.211500000000001;0.0;13.308900000000001;0.0;0.0717;0.0;219.89
ClusterART;Not needed;true;false;false;false;26;2.6371;0.0;3.7974;0.0;0.18100000000000002;0.0;10114.16
Neural Gas;EuclideanDistance;true;true;false;false;16;8.5593;0.0;9.2771;0.0;0.08610000000000001;0.0;170.29
ClusterART;Not needed;true;false;false;false;27;2.6714;0.0;3.8418;0.0;0.1763;0.0;17448.27
Neural Gas;EuclideanDistance;true;true;false;false;17;9.193;0.0;13.424700000000001;0.0;0.10310000000000001;0.0;179.12
ClusterART;Not needed;true;false;false;false;28;2.6378;0.0;3.8174;0.0;0.18180000000000002;0.0;18820.58
Neural Gas;EuclideanDistance;true;true;false;false;18;7.873;0.0;9.733;0.0;0.0881;0.0;187.47
ClusterART;Not needed;true;false;false;false;29;2.6264000000000003;0.0;3.8511;0.0;0.18730000000000002;0.0;12532.9
Neural Gas;EuclideanDistance;true;true;false;false;19;7.4835;0.0;7.6737;0.0;0.1068;0.0;198.14
ClusterART;Not needed;true;false;false;false;3;3.3807;0.0;2.5278;0.0;0.0635;0.0;573.78
Neural Gas;EuclideanDistance;true;true;false;false;2;47.170300000000005;0.0;42.0045;0.0;0.40900000000000003;0.0;60.14
ClusterART;Not needed;true;false;false;false;30;2.5917000000000003;0.0;3.8546;0.0;0.19840000000000002;0.0;21138.45
Neural Gas;EuclideanDistance;true;true;false;false;20;9.7871;0.0;10.371500000000001;0.0;0.0847;0.0;211.99
ClusterART;Not needed;true;false;false;false;4;3.1714;0.0;2.7132;0.0;0.038900000000000004;0.0;894.01
Neural Gas;EuclideanDistance;true;true;false;false;21;6.6753;0.0;5.016;0.0;0.0645;0.0;227.0
ClusterART;Not needed;true;false;false;false;5;2.9208000000000003;0.0;2.8784;0.0;0.11;0.0;1060.57
Neural Gas;EuclideanDistance;true;true;false;false;22;6.5166;0.0;4.3609;0.0;0.1063;0.0;228.83
ClusterART;Not needed;true;false;false;false;6;3.0783;0.0;3.1426000000000003;0.0;0.1223;0.0;1247.99
Neural Gas;EuclideanDistance;true;true;false;false;23;8.2202;0.0;9.9852;0.0;0.08410000000000001;0.0;250.77
ClusterART;Not needed;true;false;false;false;7;2.9544;0.0;3.2122;0.0;0.1476;0.0;1537.41
Neural Gas;EuclideanDistance;true;true;false;false;24;5.9;0.0;5.774900000000001;0.0;0.0825;0.0;253.37
ClusterART;Not needed;true;false;false;false;8;2.9335;0.0;3.2452;0.0;0.1311;0.0;1923.06
Neural Gas;EuclideanDistance;true;true;false;false;25;6.0228;0.0;3.3579000000000003;0.0;0.07930000000000001;0.0;280.35
ClusterART;Not needed;true;false;false;false;9;2.9402;0.0;3.2699000000000003;0.0;0.11720000000000001;0.0;1937.6
Neural Gas;EuclideanDistance;true;true;false;false;26;6.8207;0.0;5.5034;0.0;0.056400000000000006;0.0;285.51
Neural Gas;EuclideanDistance;true;true;false;false;27;6.5225;0.0;7.107900000000001;0.0;0.10360000000000001;0.0;280.59
ClusterART;Not needed;true;true;false;false;10;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;1915.24
Neural Gas;EuclideanDistance;true;true;false;false;28;6.2388;0.0;5.2641;0.0;0.10210000000000001;0.0;301.7
ClusterART;Not needed;true;true;false;false;11;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;1940.23
Neural Gas;EuclideanDistance;true;true;false;false;29;5.575;0.0;5.577;0.0;0.0995;0.0;315.45
ClusterART;Not needed;true;true;false;false;12;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;3703.07
Neural Gas;EuclideanDistance;true;true;false;false;3;31.446900000000003;0.0;18.6686;0.0;0.2727;0.0;34.33
ClusterART;Not needed;true;true;false;false;13;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;3514.39
Neural Gas;EuclideanDistance;true;true;false;false;30;5.2422;0.0;4.53;0.0;0.057;0.0;355.5
