ClusterAlgorithm;DistanceFunction;Synonyms;GermaNetFunction;Word2VecAdd;Word2VecAverage;k;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
ClusterART;Not needed;true;true;false;false;15;54.7518;0.0;36.5813;0.0;0.2155;0.0;1127.26
Neural Gas;EuclideanDistance;true;true;false;false;5;17.9403;0.0;19.6654;0.0;0.338;0.0;18.72
ClusterART;Not needed;true;true;false;false;16;54.7518;0.0;36.5813;0.0;0.2155;0.0;1184.49
Neural Gas;EuclideanDistance;true;true;false;false;6;15.2985;0.0;13.6857;0.0;0.2782;0.0;26.47
ClusterART;Not needed;true;true;false;false;17;54.7518;0.0;36.5813;0.0;0.2155;0.0;1710.55
Neural Gas;EuclideanDistance;true;true;false;false;7;14.336;0.0;16.4057;0.0;0.2844;0.0;28.72
ClusterART;Not needed;true;true;false;false;18;54.7518;0.0;36.5813;0.0;0.2155;0.0;1715.04
Neural Gas;EuclideanDistance;true;true;false;false;8;12.8297;0.0;12.689400000000001;0.0;0.2446;0.0;33.1
ClusterART;Not needed;true;true;false;false;19;54.7518;0.0;36.5813;0.0;0.2155;0.0;1734.05
Neural Gas;EuclideanDistance;true;true;false;false;9;11.404200000000001;0.0;10.026200000000001;0.0;0.2175;0.0;42.72
ClusterART;Not needed;true;true;false;false;2;54.7518;0.0;36.5813;0.0;0.2155;0.0;1067.26
Neural Gas;EuclideanDistance;true;true;false;true;10;1.216;0.0;2.8869000000000002;0.0;0.023200000000000002;0.0;5.86
ClusterART;Not needed;true;true;false;false;20;54.7518;0.0;36.5813;0.0;0.2155;0.0;1052.76
Neural Gas;EuclideanDistance;true;true;false;true;11;1.1076000000000001;0.0;2.3848000000000003;0.0;-0.0128;0.0;6.74
ClusterART;Not needed;true;true;false;false;21;54.7518;0.0;36.5813;0.0;0.2155;0.0;1774.66
Neural Gas;EuclideanDistance;true;true;false;true;12;1.0238;0.0;1.667;0.0;0.027700000000000002;0.0;6.23
ClusterART;Not needed;true;true;false;false;22;54.7518;0.0;36.5813;0.0;0.2155;0.0;1757.72
Neural Gas;EuclideanDistance;true;true;false;true;13;0.9184;0.0;2.0446;0.0;0.020900000000000002;0.0;6.83
ClusterART;Not needed;true;true;false;false;23;54.7518;0.0;36.5813;0.0;0.2155;0.0;1102.4
Neural Gas;EuclideanDistance;true;true;false;true;14;0.9155000000000001;0.0;1.7402000000000002;0.0;0.0309;0.0;10.17
ClusterART;Not needed;true;true;false;false;24;54.7518;0.0;36.5813;0.0;0.2155;0.0;1112.92
Neural Gas;EuclideanDistance;true;true;false;true;15;0.8139000000000001;0.0;1.5403;0.0;-0.0161;0.0;9.15
ClusterART;Not needed;true;true;false;false;25;54.7518;0.0;36.5813;0.0;0.2155;0.0;1720.43
Neural Gas;EuclideanDistance;true;true;false;true;16;0.7373000000000001;0.0;1.5865;0.0;0.0036000000000000003;0.0;10.8
ClusterART;Not needed;true;true;false;false;26;54.7518;0.0;36.5813;0.0;0.2155;0.0;1142.75
Neural Gas;EuclideanDistance;true;true;false;true;17;0.7111000000000001;0.0;1.6598000000000002;0.0;0.0568;0.0;11.79
ClusterART;Not needed;true;true;false;false;27;54.7518;0.0;36.5813;0.0;0.2155;0.0;1049.75
Neural Gas;EuclideanDistance;true;true;false;true;18;0.7165;0.0;1.4735;0.0;0.0932;0.0;9.5
ClusterART;Not needed;true;true;false;false;28;54.7518;0.0;36.5813;0.0;0.2155;0.0;1898.58
Neural Gas;EuclideanDistance;true;true;false;true;19;0.651;0.0;1.3505;0.0;0.1134;0.0;11.17
ClusterART;Not needed;true;true;false;false;29;54.7518;0.0;36.5813;0.0;0.2155;0.0;1202.03
Neural Gas;EuclideanDistance;true;true;false;true;2;5.1365;0.0;5.7018;0.0;0.4939;0.0;1.27
ClusterART;Not needed;true;true;false;false;3;54.7518;0.0;36.5813;0.0;0.2155;0.0;1170.83
Neural Gas;EuclideanDistance;true;true;false;true;20;0.6102000000000001;0.0;1.8393000000000002;0.0;0.0606;0.0;11.56
ClusterART;Not needed;true;true;false;false;30;54.7518;0.0;36.5813;0.0;0.2155;0.0;1109.14
Neural Gas;EuclideanDistance;true;true;false;true;21;0.6275000000000001;0.0;1.6854;0.0;0.1305;0.0;11.44
ClusterART;Not needed;true;true;false;false;4;54.7518;0.0;36.5813;0.0;0.2155;0.0;1080.56
Neural Gas;EuclideanDistance;true;true;false;true;22;0.6063000000000001;0.0;1.7412;0.0;0.1414;0.0;15.11
ClusterART;Not needed;true;true;false;false;5;54.7518;0.0;36.5813;0.0;0.2155;0.0;1131.69
Neural Gas;EuclideanDistance;true;true;false;true;23;0.5491;0.0;1.7948000000000002;0.0;0.12660000000000002;0.0;12.29
ClusterART;Not needed;true;true;false;false;6;54.7518;0.0;36.5813;0.0;0.2155;0.0;1703.35
Neural Gas;EuclideanDistance;true;true;false;true;24;0.5665;0.0;1.8975000000000002;0.0;0.1865;0.0;17.02
ClusterART;Not needed;true;true;false;false;7;54.7518;0.0;36.5813;0.0;0.2155;0.0;1696.3
Neural Gas;EuclideanDistance;true;true;false;true;25;0.5828;0.0;1.9842000000000002;0.0;0.1597;0.0;13.4
ClusterART;Not needed;true;true;false;false;8;54.7518;0.0;36.5813;0.0;0.2155;0.0;1702.04
Neural Gas;EuclideanDistance;true;true;false;true;26;0.5035000000000001;0.0;2.0506;0.0;0.09870000000000001;0.0;13.93
